planet,radius,relative distance,color,has ring
Mercury,2439.7,1,#FF6347,False
Venus,6051.8,2,#FFA500,False
Earth,6371,2.5,#4169E1,False
Mars,3389.5,4,#B22222,False
Jupiter,69911,13,#8B4513,False
Saturn,58232,24,#A0522D,True
Uranus,25362,49,#5F9EA0,False
Neptune,24662,76,#0000CD,False
Pluto,1188.3,90,#FFE4E1,False
